 0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.5000 9.0063e+06 4.2646e+06 1.4121e+07 4.7734e+06 1.3440e+07 7.2834e+06 1.1221e+07 7.7422e+06 1.0270e+07
   1.0000 1.6515e+07 8.0297e+06 2.5493e+07 8.9544e+06 2.4244e+07 1.3424e+07 2.0462e+07 1.4217e+07 1.8814e+07
   1.5000 2.1997e+07 1.1045e+07 3.3402e+07 1.2252e+07 3.1770e+07 1.8012e+07 2.7042e+07 1.8978e+07 2.5016e+07
   2.0000 2.5339e+07 1.3184e+07 3.7933e+07 1.4538e+07 3.6128e+07 2.0924e+07 3.0874e+07 2.1938e+07 2.8741e+07
   2.5000 2.6776e+07 1.4452e+07 3.9669e+07 1.5832e+07 3.7885e+07 2.2310e+07 3.2315e+07 2.3289e+07 3.0263e+07
   3.0000 2.6691e+07 1.4936e+07 3.9281e+07 1.6253e+07 3.7655e+07 2.2449e+07 3.1894e+07 2.3341e+07 3.0042e+07
   3.5000 2.5507e+07 1.4775e+07 3.7383e+07 1.5972e+07 3.5989e+07 2.1658e+07 3.0169e+07 2.2433e+07 2.8581e+07
   4.0000 2.3614e+07 1.4132e+07 3.4515e+07 1.5183e+07 3.3367e+07 2.0240e+07 2.7647e+07 2.0886e+07 2.6342e+07
   4.5000 2.1342e+07 1.3173e+07 3.1127e+07 1.4072e+07 3.0207e+07 1.8462e+07 2.4744e+07 1.8978e+07 2.3706e+07
   5.0000 1.8948e+07 1.2039e+07 2.7575e+07 1.2796e+07 2.6850e+07 1.6536e+07 2.1765e+07 1.6933e+07 2.0963e+07
   5.5000 1.6607e+07 1.0845e+07 2.4109e+07 1.1475e+07 2.3541e+07 1.4612e+07 1.8912e+07 1.4908e+07 1.8306e+07
   6.0000 1.4425e+07 9.6624e+06 2.0880e+07 1.0184e+07 2.0437e+07 1.2789e+07 1.6298e+07 1.3003e+07 1.5848e+07
   6.5000 1.2456e+07 8.5382e+06 1.7971e+07 8.9693e+06 1.7624e+07 1.1120e+07 1.3972e+07 1.1269e+07 1.3643e+07
   7.0000 1.0717e+07 7.5002e+06 1.5405e+07 7.8560e+06 1.5133e+07 9.6285e+06 1.1944e+07 9.7282e+06 1.1706e+07
   7.5000 9.2043e+06 6.5627e+06 1.3178e+07 6.8569e+06 1.2963e+07 8.3164e+06 1.0199e+07 8.3801e+06 1.0029e+07
   8.0000 7.9011e+06 5.7064e+06 1.1265e+07 5.9474e+06 1.1093e+07 7.1756e+06 8.7092e+06 7.2131e+06 8.5892e+06
   8.5000 6.7858e+06 4.9257e+06 9.6317e+06 5.1199e+06 9.4939e+06 6.1912e+06 7.4447e+06 6.2102e+06 7.3614e+06
   9.0000 5.8349e+06 4.2563e+06 8.2444e+06 4.4138e+06 8.1330e+06 5.3460e+06 6.3744e+06 5.3520e+06 6.3179e+06
   9.5000 5.0260e+06 3.6838e+06 7.0683e+06 3.8122e+06 6.9776e+06 4.6223e+06 5.4696e+06 4.6195e+06 5.4325e+06
  10.0000 4.3381e+06 3.1945e+06 6.0722e+06 3.2999e+06 5.9979e+06 4.0035e+06 4.7045e+06 3.9948e+06 4.6814e+06
  10.5000 3.7528e+06 2.7761e+06 5.2280e+06 2.8631e+06 5.1667e+06 3.4742e+06 4.0568e+06 3.4618e+06 4.0438e+06
  11.0000 3.2544e+06 2.4182e+06 4.5121e+06 2.4903e+06 4.4613e+06 3.0216e+06 3.5077e+06 3.0070e+06 3.5018e+06
  11.5000 2.8296e+06 2.1117e+06 3.9045e+06 2.1719e+06 3.8620e+06 2.6342e+06 3.0416e+06 2.6184e+06 3.0408e+06
  12.0000 2.4670e+06 1.8489e+06 3.3880e+06 1.8994e+06 3.3524e+06 2.3022e+06 2.6451e+06 2.2861e+06 2.6478e+06
  12.5000 2.1561e+06 1.6226e+06 2.9474e+06 1.6651e+06 2.9174e+06 2.0168e+06 2.3063e+06 2.0007e+06 2.3115e+06
  13.0000 1.8890e+06 1.4273e+06 2.5707e+06 1.4633e+06 2.5452e+06 1.7708e+06 2.0162e+06 1.7550e+06 2.0230e+06
  13.5000 1.6592e+06 1.2586e+06 2.2477e+06 1.2892e+06 2.2260e+06 1.5585e+06 1.7672e+06 1.5433e+06 1.7751e+06
  14.0000 1.4610e+06 1.1126e+06 1.9704e+06 1.1387e+06 1.9518e+06 1.3750e+06 1.5532e+06 1.3605e+06 1.5616e+06
  14.5000 1.2899e+06 9.8597e+05 1.7317e+06 1.0084e+06 1.7157e+06 1.2161e+06 1.3687e+06 1.2024e+06 1.3774e+06
  15.0000 1.1415e+06 8.7574e+05 1.5257e+06 8.9499e+05 1.5119e+06 1.0780e+06 1.2091e+06 1.0652e+06 1.2178e+06
  15.5000 1.0124e+06 7.7947e+05 1.3474e+06 7.9607e+05 1.3355e+06 9.5762e+05 1.0706e+06 9.4562e+05 1.0792e+06
  16.0000 8.9985e+05 6.9519e+05 1.1927e+06 7.0956e+05 1.1824e+06 8.5247e+05 9.5006e+05 8.4126e+05 9.5843e+05
  16.5000 8.0149e+05 6.2128e+05 1.0581e+06 6.3376e+05 1.0491e+06 7.6042e+05 8.4493e+05 7.4997e+05 8.5302e+05
  17.0000 7.1537e+05 5.5633e+05 9.4076e+05 5.6720e+05 9.3290e+05 6.7966e+05 7.5304e+05 6.6994e+05 7.6080e+05
